رقم الطالب,اسم الطالب,الجنسية,الرقم الوطني/الجواز,الجنس,آخر معدل تراكمي,التخصص,الدرجة,سنة التخرج,فصل التخرج,رقم الهاتف,مكان العمل الحالي,تاريخ بدء العمل,عنوان المنشأة,قطاع المنشأة,رقم هاتف المنشأة
217069284,مودة مهند خلدون السقا,الاردنية,scrypt:32768:8:1$8aoP8JJq6opUosBO$dbf5e8a5a0c57942b66dd63c0750d4e659b4f86e8f0ab2644d07efe521fb69272fd36362741773b4f2b326aee3bcc27094de8719f4078d3e72397da2b84ed343,ذكر,1.9,الأمن السيبراني,بكالوريوس,2022/2021,1,,Rhynoodle,2022-07-26,0476 Dorton Crossing,الخاص,9893695603
606445688,رودي بلال حيدر جابالله,الاردنية,scrypt:32768:8:1$K9jgNflVAwzH4Nzz$19718e78132516375bee03da898d27001bdd9c0712aa1b42d6f628808df98e87998445318ecc4d7c5e7c577e747f64b311d75542684f4f1cde9746325474e298,ذكر,2.14,الأمن السيبراني,بكالوريوس,2022/2021,2,6166018803,Shuffletag,2021-07-08,04 Mayer Junction,العام,6281265823
265176763,شجن فادي أوس العواني,الاردنية,scrypt:32768:8:1$TvfsDAvdrAv3YINH$ad9a9d3a259ea706b9a6d02f088c3ae123f3071827dda317199b5269eb9677c6703116820c291f8afc81e825f8423c2474f6bca26b0fdfc35f592c27a7227a84,ذكر,3.69,هندسة البرمجيات,ماجستير (مسار الرسالة),2024/2023,2,9125883696,Skyndu,2023-05-08,489 Surrey Circle,,8703968162
539030012,عوض عادل سيف يافع,الاردنية,scrypt:32768:8:1$trwFKAFwIJcfkeBu$892d144883d8284d743ee349176329d857d03c36b1ac8b55fa3b2777dc46136bab798c1479c40f7394e9b8a12fe46ad95a664af8b62e76e0c277f7029ef9ccc3,ذكر,1.85,الأمن السيبراني,ماجستير (مسار الشامل),2021/2020,1,8357471095,Mydo,2022-01-12,72 Kropf Park,الخاص,8603880508
297264901,مصبح يامن أوس يافع,الاردنية,scrypt:32768:8:1$QiVPYcvrP2CjhVr5$4cd8e3335efcd7dc92796bb1eb77eaa1b684211d2156e534fffb85f38f68641da196ef1870ecfeabcec2410157de03b57754b966ebeaad19497a4bf735a1bf0c,انثى,2.37,الأمن السيبراني,بكالوريوس,2022/2021,2,9373419878,Yabox,2022-11-01,,الخاص,8875213531
487297083,فادي وسيم مصلح بن عمر,الاردنية,scrypt:32768:8:1$9kz0OgWUNLl6pJFS$a7e8aca340dfc0c2e0203ccd6eafeb2147d5d52fbeb9363abed4f908fc8930a84aba58e4f971bbe9906c434a38c6cc84e8115a5c1e268d950ecd3d312b5af654,ذكر,1.74,الرسم الحاسوبي والرسوم المتحركة,ماجستير (مسار الرسالة),2024/2023,3,4683081971,Trupe,2023-09-01,59 Blue Bill Park Street,,
290674466,ديم رامي ساري الطويل,الاردنية,scrypt:32768:8:1$L1THyVvXlCOQ2Ser$a6a1512766173f945ebf2c13c40dce59e4bfcd5b158e390eafb249a7b88843fbfdb3ab314e169ece0dd24a38e760a3ac14f57354e7b76735e593ca7c5f13673b,انثى,2.16,علم الحاسوب,بكالوريوس,2023/2022,3,8018137809,,2022-05-12,5 Maywood Pass,,4051473553
549103006,أمنية سليم بسّام الشريف,الاردنية,scrypt:32768:8:1$KqZl84G5eS3gGaNy$fe4270670a850ade789a83283d2326f78491cd2b716b5669818aab4dd181c80d8cd2568c3f47a1a1144f30243fd2fca97a4e4825c5725eceae7e898048e6a0cf,ذكر,3.05,الأمن السيبراني,بكالوريوس,2024/2023,3,2889164599,Eayo,2023-02-11,868 Surrey Alley,الخاص,
282129653,ياسر مالك فادي الزوابي,الاردنية,scrypt:32768:8:1$7UgrEbzZo1UYbKMd$0000dde4242bbabed99caae3e8a04758f3b3958bfaadf90e4ab25ca981cc43bd01109721cc618418c195f3c30309e4a190c45d6a8705fdb59b00c3d19a0c3223,ذكر,2.47,الرسم الحاسوبي والرسوم المتحركة,ماجستير (مسار الرسالة),2024/2023,2,4975751051,Kwimbee,2024-01-04,38 La Follette Plaza,العام,5704018264
333185716,أحلام أمير هادي الكراي,الاردنية,scrypt:32768:8:1$mGJfyFtqbx7CaEir$c87b81ce55e5bfe5fc17856891a95213a952e31404bca801f3ebdb4237d4fde7b38d1079ad89772ca39aa7ee41835332447b33a298aa2d44c5c377bd6606064a,ذكر,3.36,هندسة البرمجيات,ماجستير (مسار الرسالة),2020/2019,1,8696450760,Wordify,2022-02-19,16350 Tennyson Drive,الخاص,1738293843
670836503,ضي نيروز تميم العلاني,الاردنية,scrypt:32768:8:1$aYttUESPuaqzgtov$45d9368d45d47abfdfd8f27274c56496a6bfc57052823532597e63a45529a303cb69814f4f3256260af0a4632d93145080a37aee8b3b218070095363283e4489,ذكر,2.83,الرسم الحاسوبي والرسوم المتحركة,ماجستير (مسار الرسالة),2022/2021,3,6361783980,Thoughtbridge,,81 Vernon Point,الخاص,
392204302,أيهم إحسان اياد الحجيج,الاردنية,scrypt:32768:8:1$IkepCFdPu99ExsKV$04024865971acedc944a7f5f0c915d04688f5a51cdadec74ade77bafbbfb16d3e33edbe59b64a604d1057223e08f30f9eb2b718a25f49a539c9902fc74caa189,ذكر,3.33,الرسم الحاسوبي والرسوم المتحركة,ماجستير (مسار الشامل),2021/2020,1,4945972325,Skipstorm,2022-01-10,19884 Milwaukee Parkway,العام,
139778362,ريلام معاذ عبدالرحمن الخليفي,الاردنية,scrypt:32768:8:1$ug41ZidUsE48IbuX$5b8203531af9636bef3cb0a2a9ecc39394d950b1876a98ae48af07e7bad94c33624fbdeaf7408b46531647de8156edfea88b03514ffae7718d85d31009c5e735,ذكر,2.62,الرسم الحاسوبي والرسوم المتحركة,ماجستير (مسار الشامل),2024/2023,2,,Pixope,2021-08-11,916 Novick Circle,العام,5306427121
919975621,إبراهيم معاذ راشد الأشراف,الاردنية,scrypt:32768:8:1$eirlqyXXKvG0w6aG$2ebc615fd92866384c04a3426cad8a79268b00b3e6b056c2db6f43abcc35504994e399b73b50e300490067b8e81cc7778d67192bc6e4cb78d5e4fdd6dd1f5f8f,ذكر,2.36,هندسة البرمجيات,بكالوريوس,2021/2020,2,5112822535,Jabbersphere,2023-06-14,25672 Farwell Park,العام,7808292932
686976381,ابتسام صفوان عماد المولدي,الاردنية,scrypt:32768:8:1$tDsVsFymJZ90Kv5U$6daa6e391caa7b4bef6d8063b5a9df6122a6122126ec12ae2b31a1c374892615089534ad480a699f3017aab08901d98191d8d64dafe80bd1ad86248b7fe20967,ذكر,3.28,الأمن السيبراني,ماجستير (مسار الرسالة),2022/2021,3,8884958136,Topiczoom,,,العام,4071529486
165132660,حاتم مؤيد براء بن عثمان,الاردنية,scrypt:32768:8:1$C4xv8fhNz3LUIm97$21880885c7f2d587a2b6fddd4b209a9d6ce61de6824017ab700389c07d352dbc521fc5dedcd8ed1debb797f5c01ead8bb6f461dfd1de09b1c865ba7215a1976f,ذكر,2.6,علم الحاسوب,بكالوريوس,2022/2021,3,,Viva,,5293 Prairie Rose Trail,الخاص,2763779949
414189545,أوريانا نايف جاد العلايمي,الاردنية,scrypt:32768:8:1$zaybH8Nz4R6vt1FI$b9f6f72e2724d1591d61489f2fe5fe2b9d762263add9417f539caffa398192ffec811bee703b20a3b92f0821f0ad109434253a8073f346cb529f659042603837,ذكر,3.0,علم الحاسوب,بكالوريوس,2022/2021,2,4753264126,,2023-09-16,678 Mifflin Park,,3961969477
120780346,سجدة عماد غسان القلال,الاردنية,scrypt:32768:8:1$BC2N9PzYHF8HsQj6$82efc7a25b27806c477c6a2fecd551a144984fb6773986b29acbd3ae6d40ef0dfb584a4e872f6e95c66a6f33ccfb7e472246fbf26299d7ce48de3a2c79984ca8,ذكر,2.63,نظم المعلومات الحاسوبية,ماجستير (مسار الرسالة),2024/2023,1,1683252213,Tazz,2024-03-24,1 Waubesa Way,الخاص,1608524911
375980322,حمزة حاتم داود بن عبدالله,الاردنية,scrypt:32768:8:1$DC7d62FgtKFqQmQN$934b3f7ee8c9d463af59f488f4584d24844b2b6537ef90eeb48d5a501a386faf41b55c02f54138867906bb98f6dfce9552dc199da86c8196549d6ec33950bf35,ذكر,3.91,الرسم الحاسوبي والرسوم المتحركة,بكالوريوس,2023/2022,3,8886566439,Dabvine,2021-02-28,487 Summer Ridge Road,,
896435054,ماركو ياسين فيصل الأشراف,الاردنية,scrypt:32768:8:1$577yLDQSz7kSqoji$89350908e4844eadca54a99aa9430764d46a216e803effaeca2f8e81703759eeefaa27f00e482f12e35d487a721c10b7ba21336e1f4a61960812db5bedfea0cb,انثى,3.94,هندسة البرمجيات,بكالوريوس,2021/2020,2,4155090254,Buzzster,2021-06-16,4 Spenser Plaza,الخاص,6672411093
979864762,معتصم حسام سراج الدين النفير,الاردنية,scrypt:32768:8:1$prapa3iBRsIjBpR2$631c08d7144f17b6af01e037629dc2cac500640c8bda22b1160ba79c27cf9c7b82ea3189aa251e1576c10bab8617ad1b81ada3243dbc02ea4722df443532c7e5,ذكر,3.63,الأمن السيبراني,بكالوريوس,2020/2019,3,6711345345,Voolia,2022-03-04,21014 Scott Avenue,,6802156276
668000996,جنة صفوان نبراس الدرقاش,الاردنية,scrypt:32768:8:1$iSuHREtB2odzrWbn$d4a23522673fd0643571d5495ac2d020d4f323500ad4bbdb7683e085fafe4ce3effc4a19ed8e201d6916a3bbf0d641ea8812818ec2a5380e2e4b376e63a82859,ذكر,2.99,الرسم الحاسوبي والرسوم المتحركة,بكالوريوس,2021/2020,2,8988419632,Zava,2021-06-06,1 Rowland Place,الخاص,5614969562
667230438,سامر غسان حمزة جابالله,الاردنية,scrypt:32768:8:1$Yd2GR2diBWeo3Ljm$55dcf0f98a51046cd6fff17852aeca4fab7a0091fc87a2e794146eb0c52619e6ba6ce9876ee57e57d7c49808d3be0411b42e5b59eac57e1b0e8605f4c906b49c,ذكر,3.4,الرسم الحاسوبي والرسوم المتحركة,ماجستير (مسار الرسالة),2020/2019,2,3878332098,Brainbox,2024-05-03,9097 Ridgeview Plaza,العام,7608338676
679393328,أسيل إبراهيم زياد الصغير,الاردنية,scrypt:32768:8:1$g2YOncZzBV73DLuP$5ca5b3670699c2a1d86c5e9518f45f22c2458ae9ef4d26f25ec4b975d89a530218de59483c979db1af16323f33f84fd2e5758d28f5d807a5bc4a1573f1f35b47,انثى,2.96,هندسة البرمجيات,ماجستير (مسار الشامل),2022/2021,1,4234351958,,2024-04-03,3 Northland Drive,الخاص,1071890752
262468121,جعفر أكرم اصيل عاشور,الاردنية,scrypt:32768:8:1$IKdRNzPOB6GyL3du$9b8adc217c21eac6ff4035cd85e6c439b644873ec78a83a1dcc68cc79acb87461d4c58499c443da8f1de4d1e99c01d9b344f0d6affcdc621eb81f50fd3862ef3,انثى,2.98,هندسة البرمجيات,ماجستير (مسار الرسالة),2022/2021,1,7057900383,Edgeify,,354 Bunker Hill Parkway,الخاص,6278069250
175427970,كاميليا سامي ثامر سعيد,الاردنية,scrypt:32768:8:1$tJkVkfragkPz8Tox$ae8a13de49aaae17c4d0bdf96e7bdcfc89f4f00d460196bfb1dc3ed923df2ba50cb0ec48100ead59c019f2a99c8738137b4f16faa27b9fdc83157117239ffdf1,ذكر,1.78,هندسة البرمجيات,ماجستير (مسار الرسالة),2020/2019,1,3718028538,Voonder,2022-01-06,4 Union Way,الخاص,7012471270
477204079,همسة ياسين سعود الحمامي,الاردنية,scrypt:32768:8:1$wBYx7U47YN3K7wft$3bd536382bb9a778bbefbfbc2cc8cfef38b48ff79714cb10c52f27253b4c5f2ce1ef1b40bbdd3a0223628f7df78285148c296de7c8d5d876e22403027a96e344,انثى,1.99,الرسم الحاسوبي والرسوم المتحركة,ماجستير (مسار الرسالة),2024/2023,3,1946167077,Thoughtbeat,2022-08-05,508 Golf Terrace,الخاص,4028567200
729820345,عادل محمد طارق السقاط,الاردنية,scrypt:32768:8:1$swfMpgyDXIlUTg84$ae302385ebd76bf5d4f45b8dfba6d44282380ac00f24921c3943e687dea3008e45e025fafb745768aaa68f6b0966adc484b307bbfe5bf30e2a7062fd24c7d47a,ذكر,3.05,نظم المعلومات الحاسوبية,ماجستير (مسار الرسالة),2023/2022,2,5745942195,Feedbug,,4 Farragut Street,الخاص,4335567210
586687370,إحسان نيار غالب سويس,الاردنية,scrypt:32768:8:1$f8h8UjiIIxRy7e0R$149284fa2d01dc27e8ce3a5946b79cdb67f4cab0ace246df316914d5fefc7d822f1ad9d8feea81a00745c71c3e4401ce1780cd24f4477552bbde852ff82702e9,ذكر,3.99,الرسم الحاسوبي والرسوم المتحركة,ماجستير (مسار الشامل),2021/2020,3,1524930115,,2022-09-18,324 Sycamore Parkway,العام,4294994648
37234979,عمرو خالد راجي بن عبدالله,الاردنية,scrypt:32768:8:1$HtqBHKKTeOMj4lsa$e74dc63f11d8b298777c173b3be9f456e0652ada4fd87d04b852997115f19fef824d46fddcaeaee28249945d0c6fbccc3133e32246655254d45b56990efa5882,انثى,2.72,الأمن السيبراني,بكالوريوس,2024/2023,2,3548911192,Twimbo,2022-08-10,9 Esch Parkway,العام,3657984738
316851826,آسيا معتصم مؤيد الحجيج,الاردنية,scrypt:32768:8:1$y4Z8lPiwJwHYRXb8$c2b7346186220dc3942a9a9abe40a171ef94649330954e04d90f7d4f753470c94802a80d771dccd442058a2b251d7e079eb50689972232109fd20b7b8e74f288,ذكر,3.75,الرسم الحاسوبي والرسوم المتحركة,ماجستير (مسار الرسالة),2024/2023,2,6402956128,Bluezoom,2021-10-28,5 Service Plaza,,7588656158
34112547,بتلاء إبراهيم آزاد بن عبد الكريم,الاردنية,scrypt:32768:8:1$mddkic7S8xxNkB9R$4386cfc97f678483a0bf0c8ae7068f41e26cde9e9286254445ccc561ee5753afdb3a34881a4cc5691d3883f4a1a523e908c67e14c940f7113e53e5f608cf6111,ذكر,3.95,علم الحاسوب,ماجستير (مسار الشامل),2021/2020,1,4803815357,Skaboo,,24574 Moulton Park,العام,8991029475
813911508,شاهين سعيد جاسم بودوارة,الاردنية,scrypt:32768:8:1$USkArrzjmj0HEhvV$09698e132dce27187cad960e1c477ed36d545cb7d5fc5fefdb4ec05618d58102c2bb3043c9d85bb315a3201892239c209e4607407ede5e6b26b1d1bc7f581ee6,ذكر,3.82,الرسم الحاسوبي والرسوم المتحركة,بكالوريوس,2023/2022,2,9222858920,Yata,2023-03-27,80348 Barby Way,الخاص,
951012605,باهي مصعب اسلام المحجوب,الاردنية,scrypt:32768:8:1$ZEi0ybJ6f4AFVGcy$2f899bf86e038b82f0f4f9a4fd5446eda868d132407a46655841438a1f6487ddfeef54eee947872a1ae59bb16ad6debeaf77b20d1675464806f6538e7925a4ce,انثى,1.72,الرسم الحاسوبي والرسوم المتحركة,بكالوريوس,2023/2022,1,5532295268,Dabtype,2023-12-15,8941 Walton Trail,الخاص,5224075336
688150436,نايف هيثم محمد جراد,الاردنية,scrypt:32768:8:1$mlcOyyRqxYWUwF3K$811d82da508b4ab16def2a5504202ed71a600dff8dc62c21863d6fa476e8223268f4d37f4f97113131d8829ee55b655e1beb4483ac9f22731685eceb0ba0234e,ذكر,2.8,الرسم الحاسوبي والرسوم المتحركة,بكالوريوس,2023/2022,1,8545405893,Photobug,2021-11-09,205 Lakeland Terrace,الخاص,5204808987
487186790,اياس نيروز سيف الدرقاش,الاردنية,scrypt:32768:8:1$UZesomTEXfQPDdU8$fe081c360445496d9c12cfbd71638c688345a4cf0f30f6fe8fd1ea6c105cc5083102cdfd926209eccbd35f1adf8e998acbc00d9161cfd8dd9e6b1100829d404b,ذكر,3.89,الرسم الحاسوبي والرسوم المتحركة,ماجستير (مسار الرسالة),2020/2019,2,,,2023-10-06,5365 Pepper Wood Way,العام,6271533923
283097837,معاويه فراس أمير يافع,الاردنية,scrypt:32768:8:1$dNmDIGuvdXeQ33ai$13aa2b66440bfd42625a70ece719dece7513e02da9376ab60a709d636541708884c7b73b7f3928223050b829aa5f5d6f91f1c0dee71f9cf3a67356f4a8de081c,انثى,2.71,هندسة البرمجيات,بكالوريوس,2021/2020,3,6172365957,Demivee,2023-12-11,398 Rusk Circle,الخاص,
344718352,دينا تيم عاصم خنفير,الاردنية,scrypt:32768:8:1$iJG4bHOzgHPAlN3z$a5295514eb69cbaf059a84ec8c2fadd95b6052ce00d16a8030a5e296198b3479967c8b493403696186b690de18a9f9071bf08e47db12031bb567813973b85036,انثى,2.51,الأمن السيبراني,ماجستير (مسار الشامل),2023/2022,2,6429820394,Realmix,,917 Carpenter Lane,,
729940532,جعفر لامي ميرزا الكافي,الاردنية,scrypt:32768:8:1$7Fk6KMsE1aPVBc4Q$0b3a7ace5621b0f4d73798485270af647cb12e045e0c3ab9f3f2dfa9c12e2f8df1ac85ab7b010497d6c863902c92217275cd1c9aa1c5ed53e8e3e0014095b14f,انثى,3.04,الرسم الحاسوبي والرسوم المتحركة,بكالوريوس,2024/2023,1,3247963880,Myworks,,62 Gulseth Hill,الخاص,
187018447,وصفيه تامر راشد الحجيج,الاردنية,scrypt:32768:8:1$bsRKn2jFvsDw4sFF$839e06dbb91c374047cd96638626438a575e4a77de24da4a95bef6bdae4a624b8c1565f2d5ecf54958f7f2563b9701757c2ba231116406f2c02b59b06fd89ce2,ذكر,3.53,علم الحاسوب,ماجستير (مسار الرسالة),2022/2021,2,8778795673,Quimba,,6578 Hermina Point,الخاص,8913381195
659568219,سفيان بسّام داني المنيف,الاردنية,scrypt:32768:8:1$QMH30ZBUUxXWbnxG$d6357b08739eee40518eec578950afef64fe0a30c5825603aa9fd20c695a8f13b16c6aedb8249f9384de49b8a92b65828e60761ac4aa3d55f2e3baa44e20d031,ذكر,3.96,هندسة البرمجيات,ماجستير (مسار الشامل),2023/2022,2,9752467213,Aimbu,,5114 International Hill,,9427967178
611838633,أسامة ساهر لامي شنيق,الاردنية,scrypt:32768:8:1$iboqSvqfKldYZaBR$57e821f9545aaaf0642c20578106f8357ecb77c621b0429c64d05acedd6f7a37808dd3666bb8c552f722cba1fb1533acfdfefd12075c196ac1378190116993d5,انثى,2.51,الرسم الحاسوبي والرسوم المتحركة,ماجستير (مسار الشامل),2020/2019,1,3099012383,Muxo,2022-06-27,7810 Glendale Center,الخاص,5628393164
748526922,أبرار بلال جاسر بن حمودة,الاردنية,scrypt:32768:8:1$wp27s1707xvD3OCU$48900c049b16a02a9a20a0c93e4d0b85528195034653ad6563192d37e6dd5650a53ce486207f953a7ecb930246dc07b213bcd3c027eaeba4e22dfdfc60b3b148,ذكر,2.19,هندسة البرمجيات,ماجستير (مسار الشامل),2024/2023,1,8944372885,Innojam,2024-09-20,15 Butternut Park,الخاص,9845772275
212163984,أيهم ادم مسعد العلاني,الاردنية,scrypt:32768:8:1$TVetFuJZpUTTkaM0$3b63c1213b6609456c21b521461cfe235a316e57fe767136f7ebc617280ecdcade61d57b02ea404dae196551781528e97f32f2df521c1bb2b43f6f2dd795c1c4,انثى,3.48,علم الحاسوب,بكالوريوس,2024/2023,2,,Mydo,2022-07-23,60 Scott Center,العام,4336902156
940455584,بسام جسور مصطفي الغربي,الاردنية,scrypt:32768:8:1$R65U8ezZx3CCBhlW$80a8772ebd8d93854b38522244e15eabaf74b5a29ff0cdbd9ac4a780d8aaa9ba23d0d4ff25c2f36987bca07ccb6d5c9511484bfebbcb266aea0c41e8029201c9,ذكر,3.01,نظم المعلومات الحاسوبية,بكالوريوس,2023/2022,3,9084057923,Youtags,2022-04-25,902 Beilfuss Hill,العام,9274778775
39108778,بنان خالد بدر يافع,الاردنية,scrypt:32768:8:1$TtOS5VynB0eLxsAW$21610bddbe3e1a3d31706b4e48a30a58ce39352a5b0ba9f6ceaa0ff5476e7f1e1aebc4607a36f4329b90ab9d91e86f51e4a69a7eaeff6b40dc85132b33cdaa04,انثى,3.45,نظم المعلومات الحاسوبية,ماجستير (مسار الشامل),2024/2023,3,2033603816,Tagchat,,86679 Hauk Terrace,العام,6945276029
628652685,إيناس جمال مهند المحجوب,الاردنية,scrypt:32768:8:1$vZqQchrATORA87yy$83248ad627299b07bcb9cad2e201ff3bbf4a43051b0aac8b99df6c2d90d320b0ca23d70ddee67d1cd39a30def26103a797eac49e8f8edcc09c8c5e97353a5b7d,ذكر,2.08,الرسم الحاسوبي والرسوم المتحركة,بكالوريوس,2024/2023,1,,Skimia,,,,8603519239
13998310,أصالة محمد سعود العواني,الاردنية,scrypt:32768:8:1$tNbaW4R3TL5rU1pS$0522e3f973aa87385a452f56fd2066d4c6917482a000b480f88c5f7d0caa263164092436bf8b9dff02513c3d5f318bf29bb2080ca2f0af18fc8ab0a2e3bacb63,انثى,1.66,الأمن السيبراني,ماجستير (مسار الشامل),2020/2019,3,5226843476,Pixonyx,2024-02-08,,الخاص,8498462795
737237091,أماني أسامة عتيق العواني,الاردنية,scrypt:32768:8:1$6oA0R2SZ6PMGk4M7$5d7bee7baab94e1ad70e98cb03b0dc289efa36adc563032c8a9a922749561fbb6a61d1fbd8fa05ccafdfe193a48c2454630d1689ee2d03e713fd6462069902e9,ذكر,3.92,هندسة البرمجيات,ماجستير (مسار الرسالة),2021/2020,3,2498049474,Wikido,2021-03-24,0 Ridge Oak Lane,العام,1278764718
365650129,آسيا أوس معتصم خنفير,الاردنية,scrypt:32768:8:1$vBQ96hBPPQlMkPbY$7973b953dbff030e8ea5c648fe2936aae8cb0bf495e09fa97a4bd9ff556ae3f5a893abfc9bb09c48d1b20ec1fa721ae3f11db612a1041b46485c408739f45880,ذكر,2.46,الرسم الحاسوبي والرسوم المتحركة,ماجستير (مسار الشامل),2022/2021,3,,Quaxo,2021-11-25,,الخاص,
438010637,أدريس ريان ثامر لخشين,الاردنية,scrypt:32768:8:1$09lPFDDFZY7CpfZx$7c85dcbfa71ea592267478a75ba2117bc7c07927215e510ba120a6fb446c47a2df6cd43d34465e5b20621941839fa893d21d939720902d9757cd841967d2ce5d,ذكر,2.41,الأمن السيبراني,ماجستير (مسار الشامل),2022/2021,1,1561047778,Skidoo,2022-03-22,07120 Twin Pines Plaza,الخاص,
713034360,تسنيم ساري سهيل المولدي,الاردنية,scrypt:32768:8:1$5v3nGb5I5qNmEmNy$c767bd0b78ce62c3694c696363f3bc8e0aa3eb342b90471be56adf69a7d77813f64081dc31b873677c9e145458011c570f5c65dce5776639e46830c549b487f0,انثى,2.37,نظم المعلومات الحاسوبية,بكالوريوس,2024/2023,2,7155395602,Quinu,,03826 Katie Circle,العام,5774639521
523034508,مروان نادر جاد يافع,الاردنية,scrypt:32768:8:1$Ux4dZXD68lmr4mtL$cba8df4601c2987da0d508a5ceb3e24f433f24a3be90410fbeffde5290fda9be05fac9143b2ecd12504c150d866f3d8e71b3db1e35a8b8a6f0c8ed20d5a1df93,انثى,2.42,الرسم الحاسوبي والرسوم المتحركة,بكالوريوس,2024/2023,2,6153860974,Gabvine,2023-04-12,4 Algoma Point,الخاص,5454998664
